[2025-10-28 19:44:51 | 1761695091s] --- APP STARTUP ---
Barcode vpre-alpha started at 2025-10-28 19:44:51

[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] None
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] None
[2025-10-28 19:45:01 | 1761695101s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:01 | 1761695101s] run handle_cursor_function
[2025-10-28 19:45:01 | 1761695101s] None
[2025-10-28 19:45:02 | 1761695102s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:02 | 1761695102s] run handle_cursor_function
[2025-10-28 19:45:02 | 1761695102s] None
[2025-10-28 19:45:02 | 1761695102s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:02 | 1761695102s] run handle_cursor_function
[2025-10-28 19:45:02 | 1761695102s] None
[2025-10-28 19:45:02 | 1761695102s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:02 | 1761695102s] run handle_cursor_function
[2025-10-28 19:45:02 | 1761695102s] None
[2025-10-28 19:45:02 | 1761695102s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:02 | 1761695102s] run handle_cursor_function
[2025-10-28 19:45:02 | 1761695102s] None
[2025-10-28 19:45:02 | 1761695102s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:02 | 1761695102s] run handle_cursor_function
[2025-10-28 19:45:02 | 1761695102s] None
[2025-10-28 19:45:02 | 1761695102s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:02 | 1761695102s] run handle_cursor_function
[2025-10-28 19:45:02 | 1761695102s] None
[2025-10-28 19:45:02 | 1761695102s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:02 | 1761695102s] run handle_cursor_function
[2025-10-28 19:45:02 | 1761695102s] None
[2025-10-28 19:45:03 | 1761695103s] CursorAction(MoveRel(-1, 0))
